Time,Input,Output
0,0,-0
1.042e-05,0.0654242,-2.61697
2.084e-05,0.130568,-5.22272
3.126e-05,0.195152,-7.8061
4.168e-05,0.258901,-9
5.21e-05,0.321539,-9
6.252e-05,0.3828,-9
7.294e-05,0.442421,-9
8.336e-05,0.500146,-9
9.378e-05,0.555728,-9
0.0001042,0.608929,-9
0.00011462,0.65952,-9
0.00012504,0.707286,-9
0.00013546,0.752021,-9
0.00014588,0.793533,-9
0.0001563,0.831645,-9
0.00016672,0.866194,-9
0.00017714,0.897031,-9
0.00018756,0.924025,-9
0.00019798,0.947059,-9
0.0002084,0.966035,-9
0.00021882,0.980872,-9
0.00022924,0.991505,-9
0.00023966,0.997891,-9
0.00025008,1,-9
0.0002605,0.997824,-9
0.00027092,0.991373,-9
0.00028134,0.980674,-9
0.00029176,0.965773,-9
0.00030218,0.946733,-9
0.0003126,0.923637,-9
0.00032302,0.896583,-9
0.00033344,0.865688,-9
0.00034386,0.831083,-9
0.00035428,0.792916,-9
0.0003647,0.751353,-9
0.00037512,0.70657,-9
0.00038554,0.658759,-9
0.00039596,0.608125,-9
0.00040638,0.554886,-9
0.0004168,0.499269,-9
0.00042722,0.441513,-9
0.00043764,0.381865,-9
0.00044806,0.32058,-9
0.00045848,0.257922,-9
0.0004689,0.194159,-7.76636
0.00047932,0.129564,-5.18256
0.00048974,0.0644137,-2.57655
0.00050016,-0.00101266,0.0405064
0.00051058,-0.0664346,2.65739
0.000521,-0.131572,5.26288
0.00053142,-0.196145,7.84582
0.00054184,-0.259879,9
0.00055226,-0.322498,9
0.00056268,-0.383736,9
0.0005731,-0.443329,9
0.00058352,-0.501023,9
0.00059394,-0.55657,9
0.00060436,-0.609732,9
0.00061478,-0.660281,9
0.0006252,-0.708001,9
0.00063562,-0.752688,9
0.00064604,-0.794149,9
0.00065646,-0.832207,9
0.00066688,-0.8667,9
0.0006773,-0.897478,9
0.00068772,-0.924411,9
0.00069814,-0.947384,9
0.00070856,-0.966296,9
0.00071898,-0.981068,9
0.0007294,-0.991637,9
0.00073982,-0.997956,9
0.00075024,-0.999999,9
0.00076066,-0.997757,9
0.00077108,-0.99124,9
0.0007815,-0.980475,9
0.00079192,-0.96551,9
0.00080234,-0.946407,9
0.00081276,-0.923249,9
0.00082318,-0.896134,9
0.0008336,-0.86518,9
0.00084402,-0.830519,9
0.00085444,-0.792299,9
0.00086486,-0.750684,9
0.00087528,-0.705853,9
0.0008857,-0.657997,9
0.00089612,-0.607321,9
0.00090654,-0.554043,9
0.00091696,-0.498391,9
0.00092738,-0.440604,9
0.0009378,-0.380929,9
0.00094822,-0.319621,9
0.00095864,-0.256944,9
0.00096906,-0.193166,7.72662
0.00097948,-0.12856,5.14239
0.0009899,-0.0634031,2.53612
0.00100032,0.00202532,-0.0810128
0.00101074,0.067445,-2.6978
0.00102116,0.132576,-5.30303
0.00103158,0.197138,-7.88553
0.001042,0.260856,-9
0.00105242,0.323456,-9
0.00106284,0.384671,-9
0.00107326,0.444237,-9
0.00108368,0.501899,-9
0.0010941,0.557411,-9
0.00110452,0.610534,-9
0.00111494,0.661041,-9
0.00112536,0.708716,-9
0.00113578,0.753354,-9
0.0011462,0.794764,-9
0.00115662,0.832768,-9
0.00116704,0.867204,-9
0.00117746,0.897925,-9
0.00118788,0.924797,-9
0.0011983,0.947707,-9
0.00120872,0.966556,-9
0.00121914,0.981264,-9
0.00122956,0.991767,-9
0.00123998,0.99802,-9
0.0012504,0.999997,-9
0.00126082,0.997689,-9
0.00127124,0.991106,-9
0.00128166,0.980276,-9
0.00129208,0.965245,-9
0.0013025,0.946079,-9
0.00131292,0.922859,-9
0.00132334,0.895684,-9
0.00133376,0.864672,-9
0.00134418,0.829955,-9
0.0013546,0.791681,-9
0.00136502,0.750015,-9
0.00137544,0.705135,-9
0.00138586,0.657234,-9
0.00139628,0.606516,-9
0.0014067,0.5532,-9
0.00141712,0.497513,-9
0.00142754,0.439695,-9
0.00143796,0.379992,-9
0.00144838,0.318661,-9
0.0014588,0.255965,-9
0.00146922,0.192172,-7.68688
0.00147964,0.127555,-5.10222
0.00149006,0.0623924,-2.4957
0.00150048,-0.00303797,0.121519
0.0015109,-0.0684553,2.73821
0.00152132,-0.133579,5.34318
0.00153174,-0.198131,7.92524
0.00154216,-0.261834,9
0.00155258,-0.324415,9
0.001563,-0.385605,9
0.00157342,-0.445144,9
0.00158384,-0.502775,9
0.00159426,-0.558251,9
0.00160468,-0.611336,9
0.0016151,-0.661801,9
0.00162552,-0.70943,9
0.00163594,-0.75402,9
0.00164636,-0.795378,9
0.00165678,-0.833329,9
0.0016672,-0.867708,9
0.00167762,-0.89837,9
0.00168804,-0.925182,9
0.00169846,-0.94803,9
0.00170888,-0.966816,9
0.0017193,-0.981458,9
0.00172972,-0.991896,9
0.00174014,-0.998083,9
0.00175056,-0.999994,9
0.00176098,-0.997619,9
0.0017714,-0.99097,9
0.00178182,-0.980075,9
0.00179224,-0.96498,9
0.00180266,-0.945751,9
0.00181308,-0.922469,9
0.0018235,-0.895234,9
0.00183392,-0.864163,9
0.00184434,-0.829389,9
0.00185476,-0.791062,9
0.00186518,-0.749345,9
0.0018756,-0.704416,9
0.00188602,-0.65647,9
0.00189644,-0.605711,9
0.00190686,-0.552356,9
0.00191728,-0.496634,9
0.0019277,-0.438785,9
0.00193812,-0.379055,9
0.00194854,-0.317701,9
0.00195896,-0.254986,9
0.00196938,-0.191178,7.64712
0.0019798,-0.126551,5.06204
0.00199022,-0.0613817,2.45527
0.00200064,0.00405062,-0.162025
0.00201106,0.0694656,-2.77862
0.00202148,0.134583,-5.38332
0.0020319,0.199124,-7.96494
0.00204232,0.262811,-9
0.00205274,0.325372,-9
0.00206316,0.386539,-9
0.00207358,0.44605,-9
0.002084,0.50365,-9
0.00209442,0.559091,-9
0.00210484,0.612137,-9
0.00211526,0.66256,-9
0.00212568,0.710143,-9
0.0021361,0.754684,-9
0.00214652,0.795992,-9
0.00215694,0.833888,-9
0.00216736,0.868211,-9
0.00217778,0.898814,-9
0.0021882,0.925566,-9
0.00219862,0.948352,-9
0.00220904,0.967074,-9
0.00221946,0.981652,-9
0.00222988,0.992024,-9
0.0022403,0.998145,-9
0.00225072,0.99999,-9
0.00226114,0.997549,-9
0.00227156,0.990834,-9
0.00228198,0.979873,-9
0.0022924,0.964714,-9
0.00230282,0.945421,-9
0.00231324,0.922077,-9
0.00232366,0.894782,-9
0.00233408,0.863653,-9
0.0023445,0.828823,-9
0.00235492,0.790442,-9
0.00236534,0.748674,-9
0.00237576,0.703697,-9
0.00238618,0.655706,-9
0.0023966,0.604905,-9
0.00240702,0.551512,-9
0.00241744,0.495755,-9
0.00242786,0.437875,-9
0.00243828,0.378118,-9
0.0024487,0.316741,-9
0.00245912,0.254007,-9
0.00246954,0.190184,-7.60736
0.00247996,0.125546,-5.02186
0.00249038,0.0603709,-2.41484
0.0025008,-0.00506327,0.202531
0.00251122,-0.0704758,2.81903
0.00252164,-0.135586,5.42345
0.00253206,-0.200116,8.00463
0.00254248,-0.263788,9
